Current Speed (km/h),Free Flow Speed (km/h),Confidence,Current Travel Time (s),Free Flow Travel Time (s),Coordinates,Location
33,33,1.0,250,250,"[{'latitude': 28.642455847925508, 'longitude': 77.17375559200855}, {'latitude': 28.642462542061082, 'longitude': 77.17378643741222}, {'latitude': 28.642454450248795, 'longitude': 77.1738199650249}, {'latitude': 28.642301588441967, 'longitude': 77.17414585342027}, {'latitude': 28.642247961701372, 'longitude': 77.17427728166206}, {'latitude': 28.642210371473226, 'longitude': 77.17445162524808}, {'latitude': 28.64218491898228, 'longitude': 77.17460182895292}, {'latitude': 28.642158068804566, 'longitude': 77.17476276149387}, {'latitude': 28.64215269876818, 'longitude': 77.17479897131557}, {'latitude': 28.642143356375477, 'longitude': 77.17489821304912}, {'latitude': 28.64213666221955, 'longitude': 77.17496660937906}, {'latitude': 28.642124598025422, 'longitude': 77.17511949529296}, {'latitude': 28.642137986338355, 'longitude': 77.1752898155654}, {'latitude': 28.64214740229367, 'longitude': 77.17540783276206}, {'latitude': 28.642174178912025, 'longitude': 77.17559290518415}, {'latitude': 28.642190289017012, 'longitude': 77.17572701563495}, {'latitude': 28.642209047355333, 'longitude': 77.17586112608569}, {'latitude': 28.642339178637393, 'longitude': 77.17670065750758}, {'latitude': 28.642356612833094, 'longitude': 77.17680660476367}, {'latitude': 28.64263151367062, 'longitude': 77.17850176086148}, {'latitude': 28.64266366017587, 'longitude': 77.17870292653765}, {'latitude': 28.64266505784981, 'longitude': 77.17871767868724}, {'latitude': 28.642673076084016, 'longitude': 77.17877132286753}, {'latitude': 28.642689186112417, 'longitude': 77.17886788239207}, {'latitude': 28.64270662024993, 'longitude': 77.17898187627526}, {'latitude': 28.642711990257947, 'longitude': 77.17903015603753}, {'latitude': 28.642718684377137, 'longitude': 77.17907575359084}, {'latitude': 28.64274685852249, 'longitude': 77.17926082601286}, {'latitude': 28.642863527357132, 'longitude': 77.18004268994088}, {'latitude': 28.642922523780236, 'longitude': 77.1804758666969}, {'latitude': 28.642947976092206, 'longitude': 77.18065423359644}, {'latitude': 28.642957391974857, 'longitude': 77.18073201765787}, {'latitude': 28.642964086078393, 'longitude': 77.1807816385247}, {'latitude': 28.64297217785132, 'longitude': 77.18083930601853}, {'latitude': 28.642978871953922, 'longitude': 77.18088088025826}, {'latitude': 28.642998954259145, 'longitude': 77.1810324250676}, {'latitude': 28.643004324252175, 'longitude': 77.1810686348893}, {'latitude': 28.643011018352738, 'longitude': 77.18111423244261}, {'latitude': 28.643052580615784, 'longitude': 77.18142268647938}, {'latitude': 28.64309421642384, 'longitude': 77.18171772947107}, {'latitude': 28.64314379685221, 'longitude': 77.18208385100172}, {'latitude': 28.643167925004665, 'longitude': 77.18226892342375}, {'latitude': 28.64321088487219, 'longitude': 77.1826001762372}, {'latitude': 28.643343663118692, 'longitude': 77.18350273957088}, {'latitude': 28.64338117937945, 'longitude': 77.1837562083229}, {'latitude': 28.643414723318934, 'longitude': 77.18398821940269}, {'latitude': 28.643464303595703, 'longitude': 77.1843288599477}, {'latitude': 28.643635995352547, 'longitude': 77.18551707854158}, {'latitude': 28.643676233268632, 'longitude': 77.18577725281608}, {'latitude': 28.643717795268145, 'longitude': 77.18604547371763}, {'latitude': 28.643745969145137, 'longitude': 77.18622652282619}, {'latitude': 28.64378885521499, 'longitude': 77.1865255891314}, {'latitude': 28.643865358623536, 'longitude': 77.18705800762098}, {'latitude': 28.643889486610064, 'longitude': 77.18721894016193}, {'latitude': 28.643916262783726, 'longitude': 77.18740669479297}, {'latitude': 28.644031606222942, 'longitude': 77.18815771331737}, {'latitude': 28.64404506785328, 'longitude': 77.18824086179683}, {'latitude': 28.644079935674732, 'longitude': 77.18853456368402}, {'latitude': 28.644133561478746, 'longitude': 77.18885642876592}, {'latitude': 28.64425964453688, 'longitude': 77.18962085833533}, {'latitude': 28.644324010100295, 'longitude': 77.19005537619586}, {'latitude': 28.64434813798131, 'longitude': 77.19027129402156}, {'latitude': 28.644366895933743, 'longitude': 77.19065753211981}, {'latitude': 28.64440043955799, 'longitude': 77.19092172970784}, {'latitude': 28.644409781749662, 'longitude': 77.19098342051518}, {'latitude': 28.644440677180828, 'longitude': 77.19120336165446}, {'latitude': 28.644487608794556, 'longitude': 77.1915426610949}, {'latitude': 28.644620385424957, 'longitude': 77.19247875204138}, {'latitude': 28.64468475076695, 'longitude': 77.19294277420101}, {'latitude': 28.64474374616584, 'longitude': 77.19336522212097}, {'latitude': 28.644944933467183, 'longitude': 77.19474655976398}, {'latitude': 28.64505350824534, 'longitude': 77.19549489607925}, {'latitude': 28.645184960079096, 'longitude': 77.19627676000732}, {'latitude': 28.645261388909514, 'longitude': 77.19660130729818}, {'latitude': 28.645269480505245, 'longitude': 77.19663751711988}, {'latitude': 28.645313690030846, 'longitude': 77.19679442634731}, {'latitude': 28.645335169527407, 'longitude': 77.19685477605015}, {'latitude': 28.64535797309771, 'longitude': 77.19691914906656}]",ISBT Maharana Pratap Bus (T)
35,35,1.0,148,148,"[{'latitude': 28.584116432419023, 'longitude': 77.26209548703906}, {'latitude': 28.584246488491647, 'longitude': 77.26188761584041}, {'latitude': 28.584348428198453, 'longitude': 77.261733388822}, {'latitude': 28.584453017498934, 'longitude': 77.26157647959457}, {'latitude': 28.584530815383996, 'longitude': 77.26146114460693}, {'latitude': 28.58464350077115, 'longitude': 77.26130155317048}, {'latitude': 28.584731970859796, 'longitude': 77.26114464394311}, {'latitude': 28.58492915143026, 'longitude': 77.26086703530996}, {'latitude': 28.585027042356216, 'longitude': 77.2607302426502}, {'latitude': 28.585124933191114, 'longitude': 77.26057735673629}, {'latitude': 28.58516114541672, 'longitude': 77.260523712556}, {'latitude': 28.585308643865254, 'longitude': 77.26031047693925}, {'latitude': 28.585411907376578, 'longitude': 77.26019514195161}, {'latitude': 28.58557692269865, 'longitude': 77.26003286830615}, {'latitude': 28.585645298730885, 'longitude': 77.25997251860332}, {'latitude': 28.585737816068516, 'longitude': 77.25989339343732}, {'latitude': 28.585807590426835, 'longitude': 77.2598357259435}, {'latitude': 28.585857197906588, 'longitude': 77.25979281059927}, {'latitude': 28.586004695378794, 'longitude': 77.25969356886566}, {'latitude': 28.58602486218276, 'longitude': 77.25968015782058}, {'latitude': 28.586145494918483, 'longitude': 77.2596104203862}, {'latitude': 28.586246107960715, 'longitude': 77.25955275289238}, {'latitude': 28.58628099497704, 'longitude': 77.25953531853378}, {'latitude': 28.586353418619453, 'longitude': 77.25949910871208}, {'latitude': 28.58640972355095, 'longitude': 77.25947496883094}, {'latitude': 28.586724883408046, 'longitude': 77.25935963384325}, {'latitude': 28.587023923753545, 'longitude': 77.25928184978181}, {'latitude': 28.587057485698402, 'longitude': 77.25927246205026}, {'latitude': 28.587175467625585, 'longitude': 77.25923491112405}, {'latitude': 28.58749202359586, 'longitude': 77.25913701049495}, {'latitude': 28.58828992294158, 'longitude': 77.25888220063854}, {'latitude': 28.588607800350346, 'longitude': 77.2587775944869}, {'latitude': 28.589129473440746, 'longitude': 77.25860995642341}, {'latitude': 28.58924347868545, 'longitude': 77.2585724054972}, {'latitude': 28.58973026276145, 'longitude': 77.25841683737434}, {'latitude': 28.589763823842397, 'longitude': 77.25840476743377}, {'latitude': 28.58982822281639, 'longitude': 77.25838465086616}, {'latitude': 28.589853687999756, 'longitude': 77.25837660423912}, {'latitude': 28.59006822824517, 'longitude': 77.25830686680467}, {'latitude': 28.590280118507128, 'longitude': 77.25823310605676}, {'latitude': 28.590317727328085, 'longitude': 77.2582210361162}, {'latitude': 28.590352539394942, 'longitude': 77.25820896617563}, {'latitude': 28.59036733267989, 'longitude': 77.25820091954859}, {'latitude': 28.59041024055433, 'longitude': 77.25818750850351}, {'latitude': 28.590475963902716, 'longitude': 77.25816605083133}, {'latitude': 28.590513499055234, 'longitude': 77.25815398089077}, {'latitude': 28.590960092743636, 'longitude': 77.25801048270847}, {'latitude': 28.591764736734813, 'longitude': 77.25774360291143}, {'latitude': 28.59226232791098, 'longitude': 77.25756523601189}, {'latitude': 28.592530515404185, 'longitude': 77.2574700175918}, {'latitude': 28.592606982569013, 'longitude': 77.25744185439714}, {'latitude': 28.592686099163195, 'longitude': 77.25741235009798}, {'latitude': 28.59274372544502, 'longitude': 77.25739089242586}, {'latitude': 28.592919474369978, 'longitude': 77.25732115499147}, {'latitude': 28.59295031135792, 'longitude': 77.25731042615541}, {'latitude': 28.592975775785032, 'longitude': 77.25729969731935}, {'latitude': 28.593002564944516, 'longitude': 77.2572903095878}, {'latitude': 28.59303744971888, 'longitude': 77.25727823964723}, {'latitude': 28.5934451738601, 'longitude': 77.25707305065754}, {'latitude': 28.593767009867797, 'longitude': 77.25693759910223}, {'latitude': 28.593867615616308, 'longitude': 77.25689468375799}, {'latitude': 28.59411165959236, 'longitude': 77.25679410091993}, {'latitude': 28.59426996405191, 'longitude': 77.25672436348555}, {'latitude': 28.59455558855683, 'longitude': 77.25662109843842}, {'latitude': 28.594990095462403, 'longitude': 77.25648430577866}, {'latitude': 28.59524223228425, 'longitude': 77.25639847509012}, {'latitude': 28.59553057715527, 'longitude': 77.25630727998362}, {'latitude': 28.595660692703298, 'longitude': 77.25627509347538}]",ISBT Ring Road
35,39,0.995995,248,223,"[{'latitude': 28.67172543890212, 'longitude': 77.27275726787576}, {'latitude': 28.671685211750304, 'longitude': 77.2725762187672}, {'latitude': 28.671659692872684, 'longitude': 77.27245417825702}, {'latitude': 28.67159938887208, 'longitude': 77.2720572113227}, {'latitude': 28.67157122247942, 'longitude': 77.27182922355638}, {'latitude': 28.671563132913544, 'longitude': 77.27176753274904}, {'latitude': 28.67155107210508, 'longitude': 77.27165085665689}, {'latitude': 28.671539011295224, 'longitude': 77.27153820387821}, {'latitude': 28.67153231901599, 'longitude': 77.27148455969791}, {'latitude': 28.67152695048401, 'longitude': 77.27143762104015}, {'latitude': 28.67139817917508, 'longitude': 77.2706061362453}, {'latitude': 28.67132978544005, 'longitude': 77.27018905274338}, {'latitude': 28.671316400854423, 'longitude': 77.2701045631594}, {'latitude': 28.6712761735456, 'longitude': 77.26986450545257}, {'latitude': 28.67122653287813, 'longitude': 77.26957080356533}, {'latitude': 28.6712171195341, 'longitude': 77.26948899619038}, {'latitude': 28.67118762928672, 'longitude': 77.2691966354077}, {'latitude': 28.671179613233004, 'longitude': 77.26903570286674}, {'latitude': 28.67116483133422, 'longitude': 77.26891634456553}, {'latitude': 28.671144754423544, 'longitude': 77.26878759853281}, {'latitude': 28.67103076456466, 'longitude': 77.26791990391627}, {'latitude': 28.670981123780937, 'longitude': 77.26759267441639}, {'latitude': 28.670957002028626, 'longitude': 77.26738077990416}, {'latitude': 28.670868457500063, 'longitude': 77.26690066449038}, {'latitude': 28.670814845369538, 'longitude': 77.26660696260319}, {'latitude': 28.670785281466898, 'longitude': 77.26646748773442}, {'latitude': 28.670742406439068, 'longitude': 77.2662582754312}, {'latitude': 28.670711518758047, 'longitude': 77.26610538951729}, {'latitude': 28.670672688517605, 'longitude': 77.26592702261775}, {'latitude': 28.67062569508229, 'longitude': 77.26575804344981}, {'latitude': 28.67059488090905, 'longitude': 77.2656588017162}, {'latitude': 28.67056406672678, 'longitude': 77.26555151335555}, {'latitude': 28.670526486649717, 'longitude': 77.2654361783679}, {'latitude': 28.670478169387973, 'longitude': 77.26529670349913}, {'latitude': 28.670407127528872, 'longitude': 77.26513040654015}, {'latitude': 28.670381608339987, 'longitude': 77.26507676235985}, {'latitude': 28.67036020751684, 'longitude': 77.26503518812007}, {'latitude': 28.67034410173985, 'longitude': 77.26498556725329}, {'latitude': 28.670319979840897, 'longitude': 77.2649332641775}, {'latitude': 28.670263646360155, 'longitude': 77.26481524698085}, {'latitude': 28.670240848206586, 'longitude': 77.26476160280055}, {'latitude': 28.670214005212962, 'longitude': 77.26470259420222}, {'latitude': 28.67018046984688, 'longitude': 77.26461274020016}, {'latitude': 28.67014561070506, 'longitude': 77.26447997085387}, {'latitude': 28.670124136291147, 'longitude': 77.2643512248211}, {'latitude': 28.670089277130526, 'longitude': 77.26414603583146}, {'latitude': 28.670074495077873, 'longitude': 77.26405752293397}, {'latitude': 28.670035664601333, 'longitude': 77.26384160510815}, {'latitude': 28.670027574916915, 'longitude': 77.26377454988278}, {'latitude': 28.670012866398206, 'longitude': 77.26360691181935}, {'latitude': 28.670011469088777, 'longitude': 77.26339769951613}, {'latitude': 28.670024927383682, 'longitude': 77.26320726267602}, {'latitude': 28.670027574916915, 'longitude': 77.26317507616784}, {'latitude': 28.670038312134288, 'longitude': 77.2630771755388}, {'latitude': 28.670059786565755, 'longitude': 77.26291758410235}, {'latitude': 28.670089277130526, 'longitude': 77.26280359021916}, {'latitude': 28.670118767687004, 'longitude': 77.2627204417397}, {'latitude': 28.670152303072832, 'longitude': 77.26265338651433}, {'latitude': 28.670230111009978, 'longitude': 77.26251659385451}, {'latitude': 28.670271662483945, 'longitude': 77.26245356194266}, {'latitude': 28.670294460630792, 'longitude': 77.26241735212096}, {'latitude': 28.67034277797724, 'longitude': 77.26234493247756}, {'latitude': 28.67039911141544, 'longitude': 77.26227653614762}, {'latitude': 28.670470153279965, 'longitude': 77.26219070545915}, {'latitude': 28.670612310406742, 'longitude': 77.26203245512721}, {'latitude': 28.670675336034403, 'longitude': 77.26196137658832}, {'latitude': 28.670786678765992, 'longitude': 77.26183799497363}, {'latitude': 28.670871178553956, 'longitude': 77.26174679986707}, {'latitude': 28.67093148297368, 'longitude': 77.26167572132817}, {'latitude': 28.67103076456466, 'longitude': 77.26156977407203}, {'latitude': 28.671129972519818, 'longitude': 77.2614571212934}, {'latitude': 28.671175568435057, 'longitude': 77.26139945379953}, {'latitude': 28.6712761735456, 'longitude': 77.26127338997583}, {'latitude': 28.671383470848728, 'longitude': 77.26113391510705}, {'latitude': 28.671497460323856, 'longitude': 77.26095152489398}, {'latitude': 28.671533642763567, 'longitude': 77.26088715187757}, {'latitude': 28.671611449674998, 'longitude': 77.26085496536939}, {'latitude': 28.671627555257185, 'longitude': 77.26084289542882}, {'latitude': 28.671646308329194, 'longitude': 77.26082948438375}, {'latitude': 28.67167712219321, 'longitude': 77.26078925124853}, {'latitude': 28.671773682047295, 'longitude': 77.2605424880191}, {'latitude': 28.671897084381712, 'longitude': 77.2601575910254}, {'latitude': 28.671945400989124, 'longitude': 77.25991887442302}, {'latitude': 28.67200305730734, 'longitude': 77.25953397742927}, {'latitude': 28.672174702332164, 'longitude': 77.25837660423912}, {'latitude': 28.672302075407913, 'longitude': 77.25765106670036}, {'latitude': 28.67251799153823, 'longitude': 77.25631264440165}, {'latitude': 28.672556894635658, 'longitude': 77.25607661000828}, {'latitude': 28.67257572108218, 'longitude': 77.25595725170712}, {'latitude': 28.672598518727696, 'longitude': 77.25582984677885}, {'latitude': 28.67264006926243, 'longitude': 77.25555894366829}, {'latitude': 28.672762073303698, 'longitude': 77.25487632147383}, {'latitude': 28.672810389512218, 'longitude': 77.25460273615425}, {'latitude': 28.67300483077154, 'longitude': 77.25340512982882}, {'latitude': 28.67315772135704, 'longitude': 77.25247708550944}, {'latitude': 28.673172502974698, 'longitude': 77.25236711493983}, {'latitude': 28.673184563596497, 'longitude': 77.25228933087834}, {'latitude': 28.673195300490345, 'longitude': 77.2520841418887}, {'latitude': 28.673231482343766, 'longitude': 77.2518963872576}, {'latitude': 28.673309287994293, 'longitude': 77.2514122485303}, {'latitude': 28.67331730388504, 'longitude': 77.25135189882747}, {'latitude': 28.673403125356085, 'longitude': 77.25078461162065}, {'latitude': 28.67342732008541, 'longitude': 77.25063843122933}, {'latitude': 28.673609699628337, 'longitude': 77.24956554762309}, {'latitude': 28.67363249704882, 'longitude': 77.24943277827686}, {'latitude': 28.673676768154547, 'longitude': 77.24917126289785}]",Metro Train Depot
